index,coordenadas_X,coordenadas_Y,demandas,maxDemand,minTW,maxTW
0,41.6921541,-3.6836462,10,20,0,100000
1,0.9042053519719215,0.2258303792626375,15,20,0,100000
2,0.6373782718781809,0.39132444758610774,10,20,0,100000
3,0.41914313961240046,0.6385769529489266,5,20,0,100000
4,0.16065273527790913,0.1523845877450566,15,20,0,100000
5,0.7686405823322006,0.046340395781690136,5,20,0,100000
6,0.5699859898377162,0.2797452854652458,15,20,0,100000
7,0.2716386490775996,0.6970942566380106,10,20,0,100000
8,0.35663612775202724,0.4975792630390449,5,20,0,100000
9,0.6069926514508851,0.3846923688751347,5,20,0,100000
10,0.8303089172210665,0.45936492883839697,10,20,0,100000
11,0.6464792792948618,0.102862324824459,5,20,0,100000
12,0.0733642533077783,0.1488721653197893,5,20,0,100000
13,0.08513530420129711,0.8903160022481799,5,20,0,100000
14,0.9013290830216514,0.9995441587335371,15,20,0,100000
15,0.3045815319811097,0.01752500515545241,5,20,0,100000
16,0.5952573048946312,0.9075274760445273,10,20,0,100000
17,0.5860713292767784,0.7045547284645143,10,20,0,100000
18,0.6030782315990704,0.5982070639349367,10,20,0,100000
19,0.6380106426930963,0.06700706776048737,15,20,0,100000
